,method,s,N,k,iter,error,diff_max,time
205,WMI,20,1999,1,69,1.5785821891503182e-15,8.881784197001252e-16,1.1699972674250603e-05
206,ISM,20,1999,1,69,1.5786090522882035e-15,8.881784197001252e-16,9.90001717582345e-06
207,DI,20,1999,1,70,1.2669572600062368e-15,8.881784197001252e-16,0.0001168999879155308
208,WMI,20,1999,1,70,1.5785821891503182e-15,8.881784197001252e-16,1.1500000255182385e-05
209,ISM,20,1999,1,70,1.5786090522882035e-15,8.881784197001252e-16,9.399984264746308e-06
210,DI,20,1999,1,71,1.2669572600062368e-15,8.881784197001252e-16,0.00013440000475384295
211,WMI,20,1999,1,71,1.5785821891503182e-15,8.881784197001252e-16,1.1600001016631722e-05
212,ISM,20,1999,1,71,1.5786090522882035e-15,8.881784197001252e-16,9.399984264746308e-06
213,DI,20,1999,1,72,1.2669572600062368e-15,8.881784197001252e-16,0.00013390000094659626
214,WMI,20,1999,1,72,1.5785821891503182e-15,8.881784197001252e-16,1.829999382607639e-05
215,ISM,20,1999,1,72,1.5786090522882035e-15,8.881784197001252e-16,1.5100027667358518e-05
216,DI,20,1999,1,73,1.2669572600062368e-15,8.881784197001252e-16,0.00015239999629557133
217,WMI,20,1999,1,73,1.5785821891503182e-15,8.881784197001252e-16,3.429999924264848e-05
218,ISM,20,1999,1,73,1.5786090522882035e-15,8.881784197001252e-16,2.640002639964223e-05
219,DI,20,1999,1,74,1.2669572600062368e-15,8.881784197001252e-16,0.00017100002150982618
220,WMI,20,1999,1,74,1.5785821891503182e-15,8.881784197001252e-16,1.2500007869675756e-05
221,ISM,20,1999,1,74,1.5786090522882035e-15,8.881784197001252e-16,9.500014130026102e-06
222,DI,20,1999,1,75,1.2669572600062368e-15,8.881784197001252e-16,0.0001303000026382506
223,WMI,20,1999,1,75,1.5785821891503182e-15,8.881784197001252e-16,3.399999695830047e-05
224,ISM,20,1999,1,75,1.5786090522882035e-15,8.881784197001252e-16,2.6900001103058457e-05
225,DI,20,1999,1,76,1.2669572600062368e-15,8.881784197001252e-16,0.00016150000737980008
226,WMI,20,1999,1,76,1.5785821891503182e-15,8.881784197001252e-16,1.170000177808106e-05
227,ISM,20,1999,1,76,1.5786090522882035e-15,8.881784197001252e-16,9.499985026195645e-06
228,DI,20,1999,1,77,1.2669572600062368e-15,8.881784197001252e-16,0.0001246000174432993
